"filename", "language", "TypeScript", "XML", "TypeScript JSX", "PostCSS", "JSON with Comments", "JSON", "JavaScript", "Dotenv", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"/Users/martin/Documents/GitHub/flostats/src/components/ThemeToggle.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/martin/Documents/GitHub/flostats/src/components/TimeframeSummary.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/martin/Documents/GitHub/flostats/src/components/WeightChart.tsx", "TypeScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 85
"/Users/martin/Documents/GitHub/flostats/src/components/compare/AthleteSelector.tsx", "TypeScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 107
"/Users/martin/Documents/GitHub/flostats/src/components/compare/CommonOpponentsTable.tsx", "TypeScript JSX", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 258
"/Users/martin/Documents/GitHub/flostats/src/components/compare/CompareAthletes.tsx", "TypeScript JSX", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 307
"/Users/martin/Documents/GitHub/flostats/src/components/compare/ComparisonSummary.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 112
"/Users/martin/Documents/GitHub/flostats/src/components/compare/HeadToHeadDisplay.tsx", "TypeScript JSX", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 141
"/Users/martin/Documents/GitHub/flostats/src/components/compare/InlineAthleteSearch.tsx", "TypeScript JSX", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 221
"/Users/martin/Documents/GitHub/flostats/src/index.css", "PostCSS", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/martin/Documents/GitHub/flostats/src/main.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/Users/martin/Documents/GitHub/flostats/src/utils/ProgressCoordinator.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 21, 150
"/Users/martin/Documents/GitHub/flostats/src/utils/commonOpponents.ts", "TypeScript", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 36, 267
"/Users/martin/Documents/GitHub/flostats/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/martin/Documents/GitHub/flostats/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 0, 10
"/Users/martin/Documents/GitHub/flostats/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 3, 28
"/Users/martin/Documents/GitHub/flostats/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/martin/Documents/GitHub/flostats/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/martin/Documents/GitHub/flostats/vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"Total", "-", 841, 23, 2656, 88, 11, 95, 23, 1, 38, 1, 3331, 286, 1434, 8828
